shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
1,40.65753398,-73.58209173,658
1,40.657645,-73.5813858,659
1,40.65775824,-73.58068047,660
1,40.65787358,-73.57997573,661
1,40.65798994,-73.57927128,662
1,40.65810929,-73.57856781,663
1,40.6582347,-73.57786609,664
1,40.65836269,-73.57716512,665
1,40.65849258,-73.57646475,666
1,40.65862369,-73.57576477,667
1,40.6587551,-73.57506488,668
1,40.65888775,-73.5743654,669
1,40.65902062,-73.57366599,670
1,40.65915371,-73.57296664,671
1,40.65928602,-73.57226704,672
1,40.65941798,-73.57156733,673
1,40.6595514,-73.5708681,674
1,40.65968437,-73.57016871,675
1,40.65981642,-73.56946902,676
1,40.65994961,-73.5687697,677
1,40.66008219,-73.56807019,678
1,40.66021409,-73.56737044,679
1,40.66034584,-73.56667065,680
1,40.66047807,-73.56597101,681
1,40.66061038,-73.5652714,682
1,40.66074268,-73.56457178,683
1,40.66087497,-73.56387216,684
1,40.66100734,-73.56317257,685
1,40.66114016,-73.56247311,686
1,40.66127435,-73.56177412,687
1,40.66141456,-73.56107717,688
1,40.66156034,-73.56038224,689
1,40.66171587,-73.55969091,690
1,40.66187388,-73.55900054,691
1,40.66203313,-73.55831066,692
1,40.66219231,-73.55762076,693
1,40.66235192,-73.55693102,694
1,40.66251148,-73.55624126,695
1,40.66267061,-73.55555132,696
1,40.66283321,-73.55486281,697
1,40.66300039,-73.55417616,698
1,40.6631676,-73.55348952,699
1,40.66333429,-73.55280268,700
1,40.66349515,-73.55211344,701
1,40.66365434,-73.55142352,702
1,40.66381347,-73.55073357,703
1,40.66397262,-73.55004364,704
1,40.66413184,-73.54935372,705
1,40.66428958,-73.54866323,706
1,40.66444257,-73.54797089,707
1,40.66459479,-73.54727825,708
1,40.6647469,-73.54658557,709
1,40.6649004,-73.54589343,710
1,40.66505833,-73.545203,711
1,40.66521658,-73.54451269,712
1,40.66537492,-73.54382241,713
1,40.6655337,-73.54313231,714
1,40.66569253,-73.54244223,715
1,40.66585136,-73.54175214,716
1,40.66601011,-73.54106202,717
1,40.66616842,-73.54037173,718
1,40.66632664,-73.53968139,719
1,40.66648485,-73.53899106,720
1,40.66664308,-73.53830072,721
1,40.66680192,-73.53761063,722
1,40.66696105,-73.53692066,723
1,40.66712017,-73.53623067,724
1,40.66727929,-73.53554069,725
1,40.66743944,-73.53485112,726
1,40.6676031,-73.53416296,727
1,40.66776703,-73.53347492,728
1,40.66793096,-73.53278687,729
1,40.66809488,-73.53209882,730
1,40.66825754,-73.53141025,731
1,40.66841524,-73.5307197,732
1,40.66857245,-73.53002895,733
1,40.66872965,-73.52933819,734
1,40.66888685,-73.52864743,735
1,40.66904404,-73.52795666,736
1,40.66920123,-73.52726589,737
1,40.66935779,-73.52657488,738
1,40.66950875,-73.52588173,739
1,40.66965856,-73.52518814,740
1,40.66981044,-73.52449532,741
1,40.66996384,-73.52380308,742
1,40.67012058,-73.52311213,743
1,40.67027777,-73.52242135,744
1,40.67043559,-73.52173082,745
1,40.67059326,-73.52104022,746
1,40.67074993,-73.52034924,747
1,40.67090669,-73.51965828,748
1,40.67106421,-73.51896762,749
1,40.67122179,-73.51827699,750
1,40.67137938,-73.51758636,751
1,40.67153703,-73.51689574,752
1,40.6716947,-73.51620514,753
1,40.67185242,-73.51551455,754
1,40.67200881,-73.51482345,755
1,40.67215408,-73.51412823,756
1,40.67228304,-73.51342749,757
1,40.67240416,-73.51272427,758
1,40.67252408,-73.5120207,759
1,40.67264351,-73.51131697,760
1,40.6727621,-73.510613,761
1,40.67287961,-73.50990872,762
1,40.67299687,-73.50920436,763
1,40.67310528,-73.50849762,764
1,40.67320551,-73.50778878,765
1,40.67329667,-73.50707779,766
1,40.67339042,-73.50636739,767
1,40.67348906,-73.50565815,768
1,40.67359357,-73.50495033,769
1,40.67370178,-73.50424348,770
1,40.67381194,-73.50353714,771
1,40.67392201,-73.50283077,772
1,40.67403083,-73.50212407,773
1,40.67413939,-73.5014173,774
1,40.67424815,-73.50071058,775
1,40.6743576,-73.50000405,776
1,40.67446723,-73.49929756,777
1,40.67457707,-73.49859113,778
1,40.67468553,-73.49788432,779
1,40.67479405,-73.49717753,780
1,40.67490357,-73.49647101,781
1,40.67501185,-73.49576416,782
1,40.67511036,-73.49505494,783
1,40.67519288,-73.49434215,784
1,40.67525759,-73.49362627,785
1,40.67531047,-73.49290861,786
1,40.67536125,-73.49219068,787
1,40.67541142,-73.49147267,788
1,40.67546166,-73.49075467,789
1,40.67551213,-73.4900367,790
1,40.6755626,-73.48931873,791
1,40.67561308,-73.48860076,792
1,40.67566418,-73.48788286,793
1,40.67571569,-73.48716501,794
1,40.67576624,-73.48644705,795
1,40.67581614,-73.48572901,796
1,40.67586647,-73.48501101,797
1,40.67591696,-73.48429304,798
1,40.67596793,-73.48357513,799
1,40.67601925,-73.48285725,800
1,40.67607045,-73.48213937,801
1,40.67612128,-73.48142143,802
1,40.67617153,-73.48070343,803
1,40.67622178,-73.47998543,804
1,40.67627209,-73.47926743,805
1,40.67632357,-73.47854957,806
1,40.67637461,-73.47783166,807
1,40.67642554,-73.47711374,808
1,40.67647652,-73.47639582,809
1,40.67652655,-73.47567778,810
